run,data_type,n,algo,time_ns,char_cmp
2,reverse,900,msd_plain,265958,4362
2,reverse,900,msd_switch,141833,9218
2,almost,900,quick_std,236333,134266
2,almost,900,merge_std,544542,9742
2,almost,900,merge_lcp,557917,3582
2,almost,900,string_quick3,63958,16378
2,almost,900,msd_plain,258041,4278
2,almost,900,msd_switch,142167,11592
2,random,1000,quick_std,322250,150550
2,random,1000,merge_std,795583,11601
2,random,1000,merge_lcp,787875,7849
2,random,1000,string_quick3,101375,16102
2,random,1000,msd_plain,255583,4312
2,random,1000,msd_switch,156333,7891
2,reverse,1000,quick_std,184292,121823
2,reverse,1000,merge_std,687042,7973
2,reverse,1000,merge_lcp,768875,3782
